Tax parcel Number,Street Number,Street Name,Present Use,Historic Function,Historic Use,Date of const.,Dates of alteration,Style,No. of Stories,Construction method,Exterior material: historic 1,Exterior material: historic 2,Exterior material: present,Roof Type,Roof Material,Founda- tion Material,Additions,Porch location 1,Porch condition,Window condition,Overall integrity,Contri- buting,Endan- gered?,Distinctive features,Notes,Outbldg 1 type,Outbldg 1 date,Outbldg 1 construction method,Outbldg 1 distinctive features,Outbldg 2 type,Outbldg 2 date,Landscape features
86.1-1-40,,Pine Rd,Barn,Agriculture,Agricultural Storage,1900,,Undetermined,2,wood frame,wood clapbd,,,gable,ssm,stone,,,N/A,,intact,Yes,Yes,pentice on narrow end,"Located on Mohonk Mtn House/Smiley Brothers property; in ruins, endangered by being open to elements but still being used for hay storage",,,,,,,woodlands surround
86.1-1-5,130,Mountain Rest Rd,Single Family Residence,Domestic,Single Dwelling,1949,,Cape,1,wood frame,stone veneer,brick & asbestos shingle,,gable,asphalt,concrete block,,,N/A,mixed,intact,Yes,No,3 bay; center entrance; 3-part pic window; brick endwall chimney; stone f.f. read as quoins on brick side walls; projecting front vestibule; side terrace w/brick railing wall,,shed,c1970,wood frame,"wood novelty & shakes; shed roof w/short ""mansard"" on front",,,stone steps; bluestone walkway
86.1-1-7,114,Mountain Rest Rd,Single Family Residence,Domestic,Single Dwelling,1955,,Cape,1,wood frame,wood shingle,,,gable,asphalt,concrete block,,wrap,intact-enc,mixed,intact,Yes,No,3 bay; center entrance; shed roof wall dormers front & rear; conc. bl. chimney,,garage,c1955,wood frame,2-stall; gable,shed,,pond in back yard at much lower elevation
86.1-1-8.100,1,Butterville Rd,Single Family Residence,Domestic,Secondary Structure,1820,1952  1980,Undetermined,1.5,wood frame,wood novelty siding,,,front gable,ssm,stone,1-story rear ell w/screened porch extension off it; skylight in orig. section,full front,encl-part,mixed,altered,Yes,No,3 bay; center entrance; blt in 3 phases; very small,NOTABLE; Mrs. H. Steen on 1876 map; associated w/house at 112 Mtn. Rest Rd; 4 accessory bldgs,garage/workshop,c1930,wood frame,Cape Cod style; 2-stall w/front entrance door; T-1-11 siding; rear 1-story ell,shed,c1900,stone retaining walls along road side of property
86.1-1-8.200,5,Butterville Rd,Single Family Residence,Domestic,Single Dwelling,1957,,Cape,1,wood frame,brick veneer,comp clapbd,,gable,asphalt,concrete block,,,N/A,intact,intact,Yes,No,3 bay; center entrance; 3-part pic window; 2 conc. bl. endwall chimney; projecting front gable vestibule,,,,,,,,curved stone wall
86.1-2-1,91,Mountain Rest Rd,Single Family Residence,Domestic,Single Dwelling,1952,,Ranch,1,wood frame,brick veneer,board & batten,vertical ssm (partial),gable,asphalt,poured concrete,,full front,intact,intact,intact,Yes,No,3-part bay/pic window; corner windows; side 1-stall tuck-under garage,,,,,,,,
86.1-2-10,24,Calvin Blvd,Single Family Residence,Domestic,Single Dwelling,1963,1975,Ranch,1,wood frame,asbestos shingles,,,cross-gable,asphalt,concrete block,front deck,,N/A,mixed,intact,Yes,No,3-part pic window; front double tuck-under garage,,wood shed,c1900,wood frame,this appears to be from an earlier era & is falling apart,,,stone retaining walls
86.1-2-10,112,Mountain Rest Rd,Single Family Residence,Domestic,Single Dwelling,1835,1920,Federal,2,wood frame,wood clapbd,,wood novelty,gable,ssm,stone,conc. bl. chimney,,N/A,mixed,intact,Yes,No,4 bay; exposed basement w/entrance; 1-story side lean-tos,NOTABLE; Miss C.J. Steen on 1876 map,shed,c1970,wood frame,vertical wood sliding,,,short sq. brick pier (carriage block) & brick found. remains in front yard
86.1-2-11,20,Calvin Blvd,Single Family Residence,Domestic,Single Dwelling,1955,1970  1980,Ranch,1,wood frame,asbestos shingles,,,gable,asphalt,concrete block,1-story side ell w/porch; front & rear decks,full front,intact,mixed,intact,Yes,No,3-part pic window; massive endwall chimney w/stone veneer; front porch is shallow roof overhang; side porch addition has shed roof canopy w/support posts,,,,,,,,
86.12-1-10,8,Joalyn Rd,Single Family Residence,Domestic,Single Dwelling,1956,1985,Cape,1,wood frame,brick veneer,wood clapbd,,gable,asphalt,concrete block,front gabled entrance bay,,N/A,mixed,altered,Yes,No,2 gabled front dormers; 1-stall garage ell; brick endwall chimney located betw. main house & garage ell; front addition has oversized Post Modern Palladian window,,,,,,,,circular drive in front of house
86.12-1-11,6,Joalyn Rd,Single Family Residence,Domestic,Single Dwelling,1957,,Cape,1,wood frame,wood clapbd,stone & brick,metal clapbd,gable,asphalt,concrete block,,entrance,intact,intact,altered,Yes,No,3-part pic window w/muntin pattern in center section & 1-over-1 side sashes; corner windows; door surround w/3 sq. sidelights on each side; front porch is roof overhang & recessed door; stone veneer w/small amt. of brick on f.f.; stone veneer endwall chimney,,shed,c1980,wood frame,vertical wood; gable,,,
86.12-1-12,4,Joalyn Rd,Single Family Residence,Domestic,Single Dwelling,1953,1980,Ranch,1,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,concrete block,rear ells/extensions w/cross-gabled roofs,3/4 front,intact,mixed,altered,Yes,No,3-part pic window; front projecting gabled bay; side ell w/side tuck-under garage; window blinds; brick center chimney,Currenty being used as a group home,shed,c1980,wood frame,vertical wood,,,pool; stone retaining walls along driveway
86.1-2-12,18,Calvin Blvd,Single Family Residence,Domestic,Single Dwelling,1964,,Raised Ranch,1.5,wood frame,wood shingles,,,gable,asphalt,concrete block,side ext. w/fireplace chimney; rear deck,,N/A,mixed,intact,Yes,No,3-part pic window; projecting front bay; 1-stall tuck-under garage,,garage,c1964,wood frame,o.h. door installed (smaller than orig opening); metal clapbd,,,stone & landscape tie retaing walls
86.12-1-21,9,Cherry Hill Rd,Single Family Residence,Domestic,Single Dwelling,1955,,Colonial Revival,1.5,wood frame,brick veneer,,,cross-gable,asphalt,concrete block,rear ell,,,,intact,Yes,No,,,,,,,,,
86.12-1-25,7,Holland Ln,Single Family Residence,Domestic,Single Dwelling,1965,,Ranch,1,wood frame,brick veneer,comp clapbd,metal clapbd (partial),gable,asphalt,poured concrete,,1/2 front,intact,replaced,intact,Yes,No,front porch is roof overhang; basement-level 2-stall garage ell,,,,,,,,retaining wall/planter of landscape ties
86.12-1-26,9,Holland Ln,Single Family Residence,Domestic,Single Dwelling,1965,,Raised Ranch,1.5,wood frame,brick veneer,comp clapbd,vinyl clapbd (partial),gable,asphalt,concrete block,,entrance,intact,replaced,intact,Yes,No,bow/pic window; sidelight at front door; front porch is roof overhang & recessed door 2-stall front tuck-under garage; window blinds,,,,,,,,stone veneered concrete retaining wall along driveway
86.12-1-29,15,Holland Ln,Single Family Residence,Domestic,Single Dwelling,1962,,Raised Ranch,1.5,wood frame,compos- ition clapbd,,vinyl clapbd,gable,asphalt,concrete block,,entrance,intact,intact,altered,Yes,No,3-part pic window; sidelight on front door; porch is roof overhang w/recessed door; 2-stall side tuck-under garage; window blinds,,,,,,,,
86.1-2-13,14,Calvin Blvd,Single Family Residence,Domestic,Single Dwelling,1952,,Ranch,1,wood frame,wood clapbd,,vinyl clapbd,gable,asphalt,concrete block,,full front,intact,replaced,altered,Yes,No,4 bay asymm. f.f.; 3-part pic window; porch is shallow roof overhang rear cross-gable 1-stall garage wing attached to house w/enclosed breezeway; center brick chimney,,garage,c1990,wood frame,1-stall; gambrel roof,,,
86.12-1-34,5,Cicero Av,Single Family Residence,Domestic,Single Dwelling,1958,1970,Split Level,1.5,wood frame,compos- ition clapbdcompos- ition clapbd,,,gable,asphalt,concrete block,side screened porch & entrance ell,entrance,intact,intact,intact,Yes,No,massive front wall chimney; wide overhanging eaves; attached carport w/storage area; orig. entrance porch is roof overhang; garage attached to house with breezeway; intact except for relocated front entrance,"""National Home""",shed,,wood frame,,,,split rail fence along front property line
86.12-1-37,16,Holland Ln,Single Family Residence,Domestic,Single Dwelling,1959,,Raised Ranch,1.5,wood frame,brick veneer,comp clapbd,vinyl clapbd (partial),gable,asphalt,concrete block,,entrance,intact,replaced,altered,Yes,No,3-part pic window; brick center chimney; 2-stall front tuck-under garage; window blinds,,,,,,,,fencing
86.12-1-38,14,Holland Ln,Single Family Residence,Domestic,Single Dwelling,1962,,Raised Ranch,1.5,wood frame,brick veneer,comp clapbd,,gable,asphalt,concrete block,,1/2 front,intact,intact,intact,Yes,No,overhanging upper bay; sidelight on front door; porch is roof overhang; 2-stall side tuck-under garage; rear 1-story sunporch; window blinds,,,,,,,,
86.1-2-14,12,Calvin Blvd,Single Family Residence,Domestic,Single Dwelling,1956,,Ranch,1,wood frame,asbestos shingles,,,gable,asphalt,concrete block,side deck,full front,intact,replaced,intact,Yes,No,3 bay asymm. f.f.; 3-part pic window; porch is shallow roof overhang; brick stoop,,garage,c1956,concrete block,2-stall; gable roof; stuccoed; o.h. doors w/panels & row of 4 window panes,,,
86.12-1-4,18,Joalyn Rd,Single Family Residence,Domestic,Single Dwelling,1955,,Cape,1,wood frame,brick veneer,wood clapbd,,gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,4 bay asymm. f.f.; 3-part pic window; 2 front gabled dormers; front porch is roof overhang w/recessed door; large brick center chimney; 1-story sunporch side ell; rear cross gabled bay (wall dormer) w/porte cochere extending from it; window blinds,NOTABLE,,,,,,,stone retaining walls
86.12-1-43,9,English Ln,Single Family Residence,Domestic,Single Dwelling,1965,,Raised Ranch,1.5,wood frame,brick veneer,comp clapbd,metal clapbd (partial),gable,asphalt,concrete block,rear sunporch,entrance,intact,mixed,intact,Yes,No,bow/pic window w/multiple panes; fr. porch is roof overhang over recessed door; lower level has 6-over-6 windows; window blinds; 2-stall tuck-under garage w/pentice over; upper floor rear sunporch w/shed roof; conc. chimney,,,,,,,,
86.12-1-43,9,English Ln,Single Family Residence,Domestic,Single Dwelling,1965,,,,wood frame,,,,,asphalt,concrete block,,,,,,Yes,No,2nd fl. rear porch w/shed roof,,,,,,,,
86.12-1-47,7,Cicero Av,Single Family Residence,Domestic,Single Dwelling,1959,,Split Level,1.5,wood frame,brick veneer,wood clapbd,metal clapbd (partial),cross-gable,asphalt,concrete block,rear deck,entrance,intact,intact,intact,Yes,No,bow/pic window w/multiple panes; massive brick center chimney; 2-stall side tuck-under garage; front porch is projecting hipped roof canopy w/decor. wrought iron support;,,shed,c1970,wood frame,cottage style; gable; wood shingle 2-over-2 windows,,,stone wall along hillside on E side of driveway
86.1-2-15,3,Julia Av,Single Family Residence,Domestic,Single Dwelling,1956,,Ranch - Modern,1,wood frame,vertical wood boards,,,gable + flat,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,large windows facing view of Mohonk Mtn House; windows have horizontal muntins; exposed rafter ends; massive conc. bl. chimney painted white; sun porch; porch is roof overhang,NOTABLE,garage,c1956,wood frame,double stall; matches house w/exposed rafter ends & vertical wood siding; horiz paneled garage door,,,circular driveway
86.12-1-5,3,Cicero Av,Single Family Residence,Domestic,Single Dwelling,1953,,Ranch,1,wood frame,compos- ition clapbd,,vinyl clapbd,gable,asphalt,concrete block,skylight; octagonal attic window; conc. bl. chimney,entrance,intact,intact,altered,Yes,No,4 bay asymm. f.f.; 3-part pic window; + pic/bow window w/12 panes; projecting gabled front bay w/corner cut out for entrance; brick center chimney;,,shed,c1970,wood frame,B&B siding; asymm. gable,,,fenced yard
86.12-1-6,16,Joalyn Rd,Single Family Residence,Domestic,Single Dwelling,1960,,Cape,1,wood frame,brick veneer,wood clapbd,,gable,asphalt,concrete block,,,N/A,intact,intact,Yes,No,3 bay/center entrance; small center chimney; side bay window w/ssm roof & brackets below; screened porch fronts 1-story side ell,,garage,c1960,wood frame,2-stall; front gable; brick & wood clapbd to match house,,,
86.1-2-17,4,Julia Av,Single Family Residence,Domestic,Single Dwelling,1953,1970; 2004,Ranch,1,wood frame,brick veneer,wood clapbd,,gable,asphalt,concrete block,side ell; side deck; rear wing,entrance,intact,intact,intact,Yes,No,"3-part pic window; brick endwall chimneyside ell (addition ?) has stepped down roof, WC on f.f. & brick on side",,garage,c1990,wood frame,wood clapbd; gable,,,
86.12-1-7,14,Joalyn Rd,Single Family Residence,Domestic,Single Dwelling,1952,,Ranch,1,wood frame,brick veneer,wood clapbd,,,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,5 bay/center entrance; 3-part pic window; door surround w/4 sq. sidelight on each side; massive brick center chimney; window blinds; 2-stall attached garage wing w/wood clapbd in gable ends; porch is roof overhang over recessed door,,shed,c1970,wood frame,,,,
86.1-2-18,83,Mountain Rest Rd,Single Family Residence,Domestic,Single Dwelling,1953,,Ranch,1,wood frame,brick veneer,wood clapbd,,gable,asphalt,concrete block,,entrance,intact-enc,intact,intact,Yes,No,house is oriented w/gable end (side) facing road; brick chimney; front porch has a gabled canopy; rear porch is created by recessed wall under roof,,garage,c1953,concrete block,2-stall; front gable; brick veneer,,,
86.12-1-8,12,Joalyn Rd,Single Family Residence,Domestic,Single Dwelling,1952,,Ranch,1,wood frame,vertical wood boards,,,cross-gable,asphalt,concrete block,,entrance,enclosed,intact,intact,Yes,No,side gabled entrance; brick center chimney w cap; 1-stall side tuck-under garage; rear wing w/cross gable; long side sun porch; 1-story,appears to be used for student housing,,,,,,,
86.1-2-19,81,Mountain Rest Rd,Single Family Residence,Domestic,Single Dwelling,1951,,Ranch,1,wood frame,compos- ition clapbd,,vinyl clapbd,gable,asphalt,concrete block,,,N/A,replaced,altered,Yes,No,3-part pic window; 1-stall cross-gable attached garage attached to house w/enclosed breezeway; brick chimney; articulated f.f. w/projecting center porch,,,,,,,,
86.12-1-9,10,Joalyn Rd,Single Family Residence,Domestic,Single Dwelling,1953,,Ranch,1,wood frame,wood clapbd,,,cross-gable,asphalt & ssm,concrete block,,1/2 front,intact,intact,intact,Yes,No,door surround w/sidelight & transom; center brick chimney; bay window on side w/brackets below & ssm roof; front porch is roof overhang over recessed door; rear garage wing w/double gar.; partially exposed basement gives appearance of Split Level,,studio,c1980,wood frame,metal clapbd,,,lighted walkway/stairs on front lawn
86.1-2-2.42,48,Butterville Rd,Single Family Residence,Domestic,Single Dwelling,1926,1970,Colonial Revival,2,wood frame,wood clapbd,,vinyl clapbd,gable,asphalt,cobblestone,rear ell,side,enclosed,mixed,altered,Yes,No,3 bay; side porch; small center brick chimney; roof extension over rear ell,,garage,c1926,wood frame,2-stall; front gable; 1 o.h. door installed; 1 swing door intact,shed,1900,row of coniferous trees along driveway
86.1-2-21,12,Julia Av,Single Family Residence,Domestic,Single Dwelling,1962,,Raised Ranch,1.5,wood frame,wood shingles,,,gable,asphalt,concrete block,rear deck,entrance,intact,intact,intact,Yes,No,3-part pic window; massive conc. bl. enwall chimney; 2-stall side tuck-under garage,,,,,,,,
86.12-2-1,80,Rte 32 South,Single Family Residence,Domestic,Single Dwelling,1914,,Craftsman Cottage,1,wood frame,wood clapbd,wood shingle,asbestos shingles,hipped,asphalt,stone,,full front,intact/int,mixed,altered,Yes,No,5 bay/center entrance; front & rear hipped roof dormers; small side dormer near roof peak; cobblestone veneer foundation on front & sides & porch; traditional stone foundation on rear façade; exterior cellar entrance,NOTABLE,garage,c1914,wood frame,"gable roof; wood novelty siding; 1 hanging door intact, 1 replaced w/o.h. door",,,
86.12-2-10,100,Rte 32 South,Single Family Residence,Domestic,Single Dwelling,1960,,Cape,1,wood frame,wood clapbd,,,gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,3 bay/center entrance; 3 sash windows grouped; brick endwall chimney; side screen porch; porch is recessed door w/roof overhang; side 1-stall tuck-under garage,,,,,,,,row of mature coniferous trees along fr. property line
86.12-2-11,17,Howard St,Single Family Residence,Domestic,Single Dwelling,1950,,Ranch,1,wood frame,brick veneer,,,gable,asphalt,concrete block,,,N/A,intact,intact,Yes,No,4 bay asymm. f.f.; bow/pic window w/vertical muntins; rear ell sunporch w/shed roof; brick endwall chimney,,sheds,c1950,wood frame,gable roof,shed,c1970,arbor at front walkway
86.12-2-12,18,Howard St,Single Family Residence,Domestic,Single Dwelling,1958,,Ranch,1,wood frame,brick veneer,wood clapbd,,gable,asphalt,concrete block,,,N/A,intact,intact,Yes,No,4 bay asymm. f.f.; 3-part pic window; window blinds; side tuck-under garage,,,,,,,,stone retaining wall beside driveway; old stone wall behind house; apple orchard behind
86.12-2-13,16,Howard St,Single Family Residence,Domestic,Single Dwelling,1950,,Ranch,1,wood frame,brick veneer,wood clapbd,,cross-gable,asphalt,concrete block,,1/2 front,intact,intact,intact,Yes,No,3-part pic/bay window + 2 3-part pic windows (1 on side elevation); porch abuts projecting front gabled bay & is created by roof extension w/2 supports; brick center chimney; rear screened porch ell; 2-stall side tuck-under garage; brick veneer on exposed,,,,,,,,old stone wall runs along rear & side property lines of this & neighboring property; apple orchard behind; 2 mature coniferous trees in side yard; conc. bl. retaining wall beside driveway
86.12-2-14,15,Howard St,Single Family Residence,Domestic,Single Dwelling,1920,,Colonial Revival,2,wood frame,wood clapbd,,vinyl clapbd,gable,asphalt,concrete block,bow window,,N/A,altered,altered,Yes,No,3 bay/side entrance; shutters; brick center chimney; 1-story rear ell w/flat roof,,shed,c1920,wood frame,wood clapbd; gable roof,,,
86.12-2-19,6,Howard St,Single Family Residence,Domestic,Single Dwelling,1965,1975,Ranch,1,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,concrete block,side deck,entrance,intact,intact,altered,Yes,No,wide overhanging eaves; large sidelights on front door; porch is roof overhang/recessed bay,no garage,,,,,,,
86.1-2-22,75,Mountain Rest Rd,Single Family Residence,Domestic,Single Dwelling,1948,1980,Colonial Revival,1.5,wood frame,wood clapbd,,vinyl clapbd,gable,asphalt,concrete block,2 front bay windows; 1-story cross-gable garage ell attached to house w/hyphen,entrance,intact,replaced,altered,Yes,No,closely replicates historic model w/Greek Revival features such as horiz. attic windows; large brick endwall chimney is fully exposed on N exterior wall; bay windows feature multi-paned colored glass border,,,,,,,,
86.12-2-2,82,Rte 32 South,Single Family Residence,Domestic,Single Dwelling,1955,,Ranch,1,wood frame,wood clapbd,brick,,gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,4 bay asymm. f.f.; 3-part pic window; 2-stall side tuck-under garage; dentiled header over front door; porch is gabled canopy w/wrought iron support posts; paneled shutters,,garage,c1970,wood frame,an accessory bldg w/tuck-under garage; shed roof,,,
86.12-2-21,2,Howard St,Single Family Residence,Domestic,Single Dwelling,1949,,Cape,1,wood frame,brick veneer,wood clapbd & asbestos shingles,,gable,asphalt,concrete block,orig. tuck-under garage converted to living space w/entry,entrance,intact,intact,intact,Yes,Yes,3 bay; 5-part pic window (no sashes); projecting front gabled bay; brick endwall chimney betw. house & sunroom side ell,endangered due to poor maintenance,shed,c1960,wood frame,shack,,,
86.12-2-22,2,Cicero Av,Single Family Residence,Domestic,Single Dwelling,1955,,Colonial Revival,2,wood frame,wood clapbd,,vinyl clapbd,gable,asphalt,concrete block,,entrance,intact,intact,altered,Yes,No,"3 bay (no front facing door); arched porch & garage side ell; 1-stall garage w/swing doors, strap hinges; entrance on S. side of house under arched porch; massive brick center chimney; 8-over-8 windows on 1st fl.; 6-light casement windows on 2nd fl.",NOTABLE for type,,,,,,,
86.12-2-23,1,Howard St,Single Family Residence,Domestic,Single Dwelling,1957,,Ranch,1,wood frame,wood clapbd,,,gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,large pic window w/6 horiz. panes; projecting front bay w/roof extension & overhang for entrance porch; blinds @ front door; 1-stall tuck-under garage; 1-story side ell,,shed,c1960,wood frame,wood clapbd; miniature of house,,,semi-circular dry laid stone retaining wall/terrace in front of house
86.12-2-24,5,Howard St,Single Family Residence,Domestic,Single Dwelling,1958,,Ranch,1,wood frame,brick veneer,stone,,gable,asphalt,concrete block,,1/2 front,intact,intact,intact,Yes,No,4 bay/center entrance; articulated f.f. w/projecting fr. bay; stone veneer on center bay; Dutch Colonial-style brick endwalls w/brick piers on f.f.; porch is roof overhang/recessed bay; large rear screened porch; brick chimney w/curved out base; asymm. ga,,,,,,,,circular driveway in rear yard; stone planting & retaining walls; mature cedar & deciduous trees in front/side yards
86.12-2-25,1,Bruce Av,Single Family Residence,Domestic,Single Dwelling,1965,,Split Level,1.5,wood frame,asbestos shingles,,,gable,asphalt,concrete block,,full front,intact,intact,intact,Yes,No,bow/pic multipaned window; 2-stall garage wing @ basement level; porch is shallow roof overhang; window blinds,,shed,c1980,wood frame,"gable roof, wood shingles",pool house,c1990,stone retaining walls & freestanding stone walls; pool
86.12-2-27,14,Howard St,Single Family Residence,Domestic,Single Dwelling,1958,,Ranch,1,wood frame,brick veneer,wood clapbd,,gable,asphalt,concrete block,,3/4 front,intact,intact,intact,Yes,No,3-part pic window; projecting front gabled bay; bay window; brick center chimney; porch is shallow roof overhang; 1-stall side tuck-under garage,,,,,,,,
86.12-2-3,84,Rte 32 South,Commercial Office,Domestic,Single Dwelling,1956,,Cape,1,wood frame,brick veneer,,,cross-gable,asphalt,concrete block,1-story rear ell; office vestibule entrance,entrance,intact,intact,intact,Yes,No,3-bay asymm.f.f./center entrance; front projecting gabled bay; Colonial Revival front door surround w/scalloped decor. on header & fluted stiles; 3-part pic window; window blinds; soldier-course brickwork @ roof eave & below windows;,,garage,c1956,pourpoured concrete,2-stall; front gable,sheds (2),c1956,brick pier w/lantern atop @ driveway entrance
86.1-2-23.100,47,Butterville Rd,Single Family Residence,Domestic,Single Dwelling,1800,,Federal,2,wood frame,wood clapbd,,,cross-gable,wood shakes & ssm,stone,blt in 2 phases; 2-story section may be later,full front,enc/intact,replaced,intact,Yes,No,"upright & wing massing, except for projecting front gabled bay @ end of side ell; cross-gable 2-story section; substantial endwall chimney; corner porch is open, rest. of porch is enclosed/glazed",NOTABLE; J. Hasbrouck on 1876 map,barn,c1880,wood frame,2-story; stone found.; gable/ssm roof; B&B,barn,c2001,stone planting beds; 36.7 acres; horse farm
86.12-2-31,5,College Av,Single Family Residence,Domestic,Single Dwelling,1950,,Ranch,1,wood frame,wood clapbd,,,gable,asphalt,concrete block,triangular front gable; rear deck,entrance,intact,intact,intact,Yes,No,3-part pic window w/multiple panes; door w/multipaned sidelights; porch is roof overhang & defined by oversized brackets; brick endwall chimney; 1-story rear ell w/flat roof; rear tuck-under garage w/sunroom above,,,,,,,,stone front steps
86.12-2-34,10,Bruce Av,Single Family Residence,Domestic,Single Dwelling,1963,,Raised Ranch,1.5,wood frame,compos- ition clapbd,asbestos shingles,,gable,asphalt,concrete block,,1/2 front,intact,intact,intact,Yes,No,Mt. Vernon treatment on 1/2 of f.f.with roof overhang & 4 posts creating front porch; projecting bay; door surround w/transom & sidelights; double attached garage @ mid-level between 1st fl. & basement; small cupola,,,,,,,,
86.12-2-36,14,Bruce Av,Single Family Residence,Domestic,Single Dwelling,1960,,Split Level,1.5,wood frame,compos- ition clapbd,,vinyl novelty siding,gable,asphalt,concrete block,,1/2 front,intact,replaced,altered,Yes,No,Mt. Vernon treatement; porch is roof overhang w/posts; projecting front bay over 2-stall tuck-under garage; grouping of 3 sash windows,,,,,,,,
86.12-2-37,16,Bruce Av,Single Family Residence,Domestic,Single Dwelling,1960,1980,Split Level,1.5,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,concrete block,1-story rear ell,1/2 front,intact,replaced,intact,Yes,No,1-stall side tuck-under garage; window blinds; conc. bl. chimney; porch is roof overhang,,,,,,,,
86.12-2-38,8,Gardner St,Single Family Residence,Domestic,Single Dwelling,1960,,Ranch,1,wood frame,brick veneer,wood clapbd,vinyl clapbd (partial),hipped,asphalt,concrete block,,1/2 front,intact,intact,intact,Yes,No,L-shaped foot print; attached double stall facing side; wide roof overhang; porch is roof overhang,,,,,,,,
86.12-2-39,6,Gardner St,Single Family Residence,Domestic,Single Dwelling,1958,,Split Level,1.5,wood frame,asbestos shingle,,,gable,asphalt,concrete block,1-story side ell; bow window on f.f.,1/2 front,intact,replaced,intact,Yes,No,1-stall front tuck-under garage; window blinds & aluminum window awnings,,shed,c1980,wood frame,,shed,c1990,stone retaining wall along driveway
86.12-2-4,86,Rte 32 South,Multi-Family Residence,Agriculture,Agricultural Storage,1900,1970,Undetermined,2,wood frame,board & batten,,wood shingles,gable,ssm,stone,,entrance,intact/add,altered,altered,Yes,No,Tudor Revival entrance door; added porch is gabled canopy w/brackets,Could be associated w/property next door @ 88 Rte 32 South (86.12.2.5) or with 15 Howard St.(86.12.42.14) & used for apple storage; few orig. arch. details of barn remain except massing,,,,,,,barn set far back from Rte 32 S.; long driveway w/circular turnaround in front of bldg.
86.12-2-40,8,Cicero Av,Single Family Residence,Domestic,Single Dwelling,1962,,Cape,1,wood frame,wood clapbd,,,gable,asphalt,concrete block,,,N/A,intact,intact,Yes,No,"3 bay/side entrance; 2 1-story side ells, 1 w/attached 2-stall garage; window blinds",NOTABLE for type,teepee,,,,,,house is set at 45-degree angle to grid road system on this corner lot
86.12-2-41,4,Rita St,Single Family Residence,Domestic,Single Dwelling,1959,,Ranch,1,wood frame,brick veneer,vertical woor & clapbd,,gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,fr. door w/1 sidelight; porch is recessed door w/roof overhang; attached double garage,,shed,c1970,wood frame,gable; metal panels,,,
86.12-2-42,6,Rita St,Single Family Residence,Domestic,Single Dwelling,1963,,Raised Ranch,1.5,wood frame,brick veneer,comp clapbd,vinyl clapbd (partial),gable,asphalt,concrete block,,full front,intact,mixed,intact,Yes,No,4 bay asymm. f.f.; porch is shallow roof overhang; 2-stall side tuck-under garage w/pentice over; window blinds,,,,,,,,
86.12-2-43,8,Rita St,Single Family Residence,Domestic,Single Dwelling,1962,,Ranch,1,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,concrete block,rear 1-story sunroom,full front,intact,intact,altered,Yes,No,4 bay asymm. f.f.; 3-part pic window; porch is shallow roof overhang; 2-stall rear tuck-uner garage,,,,,,,,
86.12-2-44,5,Rita St,Single Family Residence,Domestic,Single Dwelling,1960,,Split Level,1.5,wood frame,brick veneer,,,hipped,asphalt,concrete block,,1/2 front,intact,intact,intact,Yes,No,3-part pic window; brick endwall chimney; front projecting bay; 2-stall front tuck-under garage,,,,,,,,
86.12-2-46,1,Rita St,Single Family Residence,Domestic,Single Dwelling,1959,,Split Level,1.5,wood frame,asbestos shingles,,,gable,asphalt,concrete block,,1/2 front,intact,intact,intact,Yes,No,3-part pic window; 1-stall front tuck-under garage,,shed,c1970,wood frame,metal w/ssm roof,,,
86.12-2-47,14,Cicero Av,Single Family Residence,Domestic,Single Dwelling,1965,,Raised Ranch,1.5,wood frame,compos- ition clapbd,,metal clapbd,gable,asphalt,concrete block,,1/2 front,intact,replaced,altered,Yes,No,"4 bay asymm. f.f.; 1/2 Mount Vernon treatment (front porch is roof overhang w/3 suport posts, left of entrance, window & door blinds; 6-over-6 windows; 2-stall 1-story attached side ell ; double sash windows for ""pic window""",,,,,,,,
86.12-2-48,28,Cherry Hill Rd,Mixed Use: SFR & Office,Domestic,Single Dwelling,1960,,Split Level - Modern,1.5,wood frame,brick veneer,,,front gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,asymm. front gable; front porch is roof overhang; large pic window w/vertical muntins; side/basement-level 1-stall garage ell w/balcony/deck above w/wrought iron railing,,shed,c2000,wood frame,gambrel roof prefab,,,
86.12-2-49,29,Cherry Hill Rd,Single Family Residence,Domestic,Single Dwelling,1960,,Ranch,1,wood frame,brick veneer,wood clapbd,metal clapbd (partial),gable,asphalt,concrete block,,entrance,intact,intact,intact,Yes,No,3-part pic window; rear sun porch; front porch is cantilevered gabled canopy,,garage,c1960,concrete block,brick veneer on f.f. w/metal clapbd in front gable,,,landscape ties used for front retaining wall
